iter	Passed	Remaining
0	7	23739
1	15	23563
2	24	24674
3	33	24737
4	41	24934
5	50	25282
6	59	25396
7	68	25571
8	77	25597
9	86	25945
10	96	26097
11	104	26000
12	113	26054
13	121	25906
14	130	25961
15	138	25882
16	148	26060
17	158	26175
18	166	26170
19	175	26192
20	184	26216
21	194	26297
22	203	26284
23	212	26303
24	221	26330
25	229	26231
26	238	26235
27	247	26225
28	256	26275
29	265	26289
30	275	26343
31	285	26441
32	295	26531
33	304	26549
34	313	26561
35	324	26684
36	333	26730
37	344	26840
38	353	26809
39	362	26822
40	371	26796
41	380	26823
42	391	26893
43	401	26943
44	410	26951
45	419	26933
46	428	26938
47	439	27050
48	450	27131
49	460	27165
50	469	27170
51	479	27173
52	489	27192
53	499	27237
54	509	27281
55	518	27275
56	527	27258
57	538	27303
58	547	27287
59	557	27341
60	567	27318
61	576	27301
62	586	27326
63	595	27312
64	605	27352
65	615	27365
66	624	27357
67	634	27349
68	644	27367
69	654	27404
70	664	27395
71	673	27389
72	682	27385
73	692	27383
74	701	27369
75	711	27371
76	720	27369
77	730	27355
78	739	27337
79	748	27307
80	757	27293
81	766	27277
82	775	27243
83	784	27223
84	792	27194
85	802	27178
86	811	27170
87	820	27151
88	829	27135
89	838	27120
90	848	27110
91	856	27087
92	866	27073
93	875	27052
94	884	27049
95	893	27041
96	903	27052
97	912	27018
98	921	26994
99	929	26963
100	938	26944
101	947	26915
102	955	26878
103	963	26841
104	972	26826
105	982	26815
106	990	26787
107	999	26772
108	1009	26773
109	1018	26752
110	1027	26733
111	1035	26708
112	1044	26685
113	1053	26662
114	1062	26651
115	1071	26635
116	1080	26618
117	1089	26597
118	1097	26572
119	1106	26545
120	1114	26519
121	1123	26495
122	1131	26474
123	1140	26448
124	1149	26447
125	1159	26444
126	1168	26431
127	1176	26405
128	1186	26403
129	1195	26393
130	1204	26376
131	1212	26350
132	1221	26333
133	1230	26316
134	1240	26319
135	1248	26299
136	1257	26280
137	1265	26254
138	1274	26238
139	1283	26210
140	1291	26191
141	1300	26165
142	1309	26169
143	1319	26168
144	1327	26141
145	1336	26129
146	1345	26105
147	1353	26085
148	1361	26059
149	1371	26049
150	1379	26035
151	1388	26009
152	1396	25990
153	1405	25968
154	1415	25973
155	1426	26005
156	1436	26006
157	1446	26020
158	1455	26007
159	1463	25985
160	1473	25989
161	1483	25990
162	1492	25984
163	1502	25981
164	1511	25964
165	1521	25977
166	1530	25961
167	1539	25956
168	1549	25954
169	1558	25937
170	1567	25931
171	1576	25912
172	1584	25885
173	1592	25862
174	1600	25835
175	1608	25816
176	1617	25795
177	1626	25789
178	1635	25768
179	1644	25765
180	1653	25759
181	1662	25741
182	1671	25726
183	1679	25707
184	1688	25692
185	1697	25678
186	1705	25651
187	1714	25638
188	1722	25619
189	1731	25612
190	1740	25603
191	1749	25590
192	1759	25584
193	1768	25573
194	1776	25553
195	1784	25531
196	1793	25524
197	1802	25508
198	1811	25492
199	1820	25489
200	1829	25480
201	1839	25474
202	1847	25460
203	1857	25454
204	1866	25444
205	1875	25437
206	1884	25432
207	1893	25413
208	1901	25397
209	1910	25387
210	1919	25372
211	1928	25364
212	1937	25350
213	1946	25343
214	1955	25334
215	1964	25315
216	1973	25304
217	1982	25296
218	1991	25288
219	1999	25272
220	2008	25261
221	2017	25249
222	2026	25231
223	2035	25223
224	2045	25223
225	2055	25228
226	2064	25214
227	2072	25193
228	2080	25179
229	2089	25159
230	2097	25140
231	2105	25119
232	2114	25107
233	2122	25092
234	2132	25090
235	2142	25090
236	2151	25079
237	2160	25072
238	2169	25063
239	2178	25051
240	2186	25034
241	2194	25013
242	2203	24996
243	2211	24982
244	2221	24976
245	2230	24966
246	2237	24942
247	2246	24928
248	2254	24911
249	2264	24909
250	2273	24901
251	2282	24893
252	2291	24884
253	2301	24879
254	2309	24864
255	2318	24850
256	2327	24837
257	2335	24822
258	2344	24806
259	2352	24790
260	2360	24775
261	2369	24764
262	2379	24764
263	2388	24749
264	2396	24736
265	2407	24742
266	2417	24746
267	2427	24741
268	2435	24728
269	2444	24713
270	2453	24706
271	2462	24698
272	2471	24691
273	2481	24692
274	2491	24689
275	2500	24680
276	2509	24673
277	2519	24666
278	2528	24659
279	2537	24651
280	2546	24639
281	2554	24622
282	2562	24604
283	2571	24595
284	2581	24591
285	2590	24578
286	2598	24565
287	2607	24551
288	2615	24538
289	2624	24525
290	2634	24522
291	2643	24511
292	2651	24500
293	2660	24490
294	2669	24474
